Token 0,Token 1,Fee,tickSpacing,Pool,Tx Hash,BlockNumber
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xBdF838771D5eb681a7a2979730AD0424A9F858cb,10000,200,0x8F3e158D441057d8077D2ac36E5e8E2Ff6216bc5,0x23e001daa1b8a6c9fab5e1300ebb4ed5be93e3b5448476c864c45641b7ef497c,33978440
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xBc3EFB6E37abee6698c5E701380B407443527f8F,100,1,0xe641bB4c3e84D2D6880DAf98Bf29D42bF1Bb47C4,0x3cc80308a76ca16be1bcc8a2b2f86c6eed7c989e7ec1c1e2fa7b85c9a4ce2bb9,33980905
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x3B56a704C01D650147ADE2b8cEE594066b3F9421,10000,200,0xE6104816897323A5C832f467A4ee01B903c7f380,0x0d789e4caff6a289e8320dc9e6ef6fff2528d47008ce8997147976592b0bfd9c,33995832
0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a,0xBbba073C31bF03b8ACf7c28EF0738DeCF3695683,10000,200,0x04559ABb6492a2BCF924Ea853D1b3230AEFcBB14,0xc08440878c61b1f99c88e43efa582d727e21c6fe47d8fe13dea8827a07d490e8,33998394
0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,0xB5C064F955D8e7F38fE0460C556a72987494eE17,3000,60,0x31fc1cc5E5A7424920e53752F40acd1A25F7D07A,0xa977257e8f7999ecb9ebda133b44ecafa67f5fde2705a1e2ea14998a4767ffe5,34000713
0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,0xB5C064F955D8e7F38fE0460C556a72987494eE17,10000,200,0x6a8566494Da5d1089bcbB216c168897e8c3E8326,0xa581ab62fe8096b305d672919e7667c0a851182be792d3826a12536f35b22ce9,34000752
0x65A05DB8322701724c197AF82C9CaE41195B0aA8,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,100,1,0x5DDb5d82c90f7011bA43D10f3fc2de0f6308A111,0xad1d28c49f26d6f260693b1823746f07788fa74db06782fec834ef45492fb0f1,34001764
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xba8B8925b03170D7A4f59B6707B014D472f2A04e,3000,60,0x6FCB52807c9369F4d412F3831eb18F17aE91ABE8,0x4e8ccd2ca6fbf5b08ffcaecb34f9c805c701142d3a5a0edc489bede47e7eed05,34002042
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xF481dEDE53192f3F545dB9fcFeacD296ad9C61f9,3000,60,0x52913D209b2be4859FeEaA9f00672543d711B33e,0x3e2a7bce1521be93817b6c38c266b0f457c78ef45a317035a863a2af574871a7,34003869
0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,10000,200,0x8815990cFDdfd8BC426C7c79a4ddD4e2FA759534,0x15119e3cfacad280b4ce7e2235f6ebabfc6de785e917c43472d9f43a93c69311,34005525
